100,40,30,RECEIVE
110,20,10,SEND
120,30,20,EVEN
130,20,10,SEND
140,15,5,SEND
150,10,0,EVEN
160,15,5,SEND
170,15,5,RECEIVE
180,20,10,SEND
190,25,15,RECEIVE
200,20,10,SEND
210,30,20,EVEN
220,30,20,RECEIVE
230,50,40,SEND
240,35,25,SEND
250,50,40,RECEIVE
260,40,30,SEND
270,50,40,EVEN
280,45,35,SEND
290,60,50,SEND
300,25,15,EVEN
310,40,30,SEND
320,30,20,SEND
330,20,10,EVEN
340,15,5,RECEIVE
350,30,20,SEND
360,40,30,EVEN
370,45,35,RECEIVE
380,55,45,RECEIVE
390,60,50,RECEIVE
400,60,50,RECEIVE
410,60,50,SEND
420,30,20,EVEN
430,30,20,RECEIVE
440,40,30,SEND
450,45,35,RECEIVE
460,40,30,RECEIVE
470,35,25,SEND
480,40,30,EVEN
490,25,15,RECEIVE
