100,7033 Summerhouse Ave. Staten Island NY 10306
110,68 Oak Ave. Staten Island NY 10312
120,9383 Joy Ridge Ave. New York NY 10002
130,78 Hawthorne Avenue Hamburg NY 14075
140,250 Bridle Dr. Brooklyn NY 11204
150,9774 Sulphur Springs Lane New York NY 10016
160,217 Andover Street Massapequa New York NY 11758
170,14 Jefferson St. Jamaica NY 11432
180,57 Buckingham Ave. Brooklyn NY 11204
190,532 Dunbar Avenue Brooklyn NY 11215
200,8675 Redwood Dr. New York NY 10004
210,9578 Amherst Ave. New York NY 10006
220,240 West New Saddle Drive New York NY 10008
230,14 Goldfield St. New York NY 10007
240,10 North Marvon St. New York NY 10009
250,8321 Academy St. New York NY 10010
260,556B Bedford Lane Brooklyn NY 11204
270,7967 West Thatcher St. Staten Island NY 10312
280,582 Big Rock Cove Lane Staten Island NY 10306
290,101 Ridgewood Road New York NY 10020
300,465 Brown Dr. New York NY 10022
310,9066 Ryan Road New York NY 10021
320,8921 Bridle Street New York NY 10014
330,100 North Mechanic Dr. New York NY 10013
340,251 N. Roehampton St. New York NY 10012
350,1 Sleepy Hollow Drive New York NY 10016
360,8958 Sage Street New York NY 10017
370,273 Cardinal Dr. New York NY 10018
380,599 Amerige Rd. New York NY 10019
390,7602 Church Street New York NY 10020
400,9117 Cactus Ave. Brooklyn NY 11204
410,8 Leeton Ridge Avenue New York NY 11758
420,31 Tower Ave. New York NY 10007
430,546 Nicolls Lane New York NY 10008
440,7859 Howard Ave. New York NY 10009
450,5 Glen Ridge Court New York NY 10010
460,860 Glendale St. New York NY 10011
470,177 East Manhattan Ave. New York NY 10012
480,9 Bay Meadows Lane New York NY 10013
490,16 Overlook Street New York NY 10014
