"product_id","style_id","color_id","product_name","product_type","product_color","product_fit","cotton","spandex","polyester","elastomultiester","lyocell","rayon","product_price","scraping_datetime"
"1024256001","1024256","001",slim_jeans,men_jeans_slim,black,slim_fit,0.99,0.01,0.0,0.0,0.0,0.0,19.99,"2022-12-17 00:45:32"
"1024256002","1024256","002",slim_jeans,men_jeans_slim,light_denim_blue,slim_fit,0.99,0.01,0.0,0.0,0.0,0.0,19.99,"2022-12-17 00:45:32"
"1024256003","1024256","003",slim_jeans,men_jeans_slim,light_denim_blue,slim_fit,0.99,0.01,0.0,0.0,0.0,0.0,19.99,"2022-12-17 00:45:32"
"1024256004","1024256","004",slim_jeans,men_jeans_slim,denim_blue,slim_fit,0.99,0.01,0.0,0.0,0.0,0.0,19.99,"2022-12-17 00:45:32"
"1024256005","1024256","005",slim_jeans,men_jeans_slim,dark_blue,slim_fit,0.99,0.01,0.0,0.0,0.0,0.0,19.99,"2022-12-17 00:45:32"
"1024256006","1024256","006",slim_jeans,men_jeans_slim,dark_denim_blue,slim_fit,0.99,0.01,0.0,0.0,0.0,0.0,19.99,"2022-12-17 00:45:32"
"1024256007","1024256","007",slim_jeans,men_jeans_slim,dark_gray,slim_fit,0.99,0.01,0.0,0.0,0.0,0.0,19.99,"2022-12-17 00:45:32"
"1024256008","1024256","008",slim_jeans,men_jeans_slim,white,slim_fit,0.99,0.01,0.0,0.0,0.0,0.0,19.99,"2022-12-17 00:45:32"
"0985159001","0985159","001",skinny_jeans,men_jeans_skinny,black,skinny_fit,0.99,0.01,0.0,0.0,0.0,0.0,24.99,"2022-12-17 00:45:32"
"0985159002","0985159","002",skinny_jeans,men_jeans_skinny,denim_blue,skinny_fit,0.99,0.01,0.0,0.0,0.0,0.0,24.99,"2022-12-17 00:45:32"
"0985159003","0985159","003",skinny_jeans,men_jeans_skinny,dark_gray,skinny_fit,0.99,0.01,0.0,0.0,0.0,0.0,11.99,"2022-12-17 00:45:32"
"0985159004","0985159","004",skinny_jeans,men_jeans_skinny,light_denim_blue,skinny_fit,0.99,0.01,0.0,0.0,0.0,0.0,24.99,"2022-12-17 00:45:32"
"0985159005","0985159","005",skinny_jeans,men_jeans_skinny,dark_blue,skinny_fit,0.99,0.01,0.0,0.0,0.0,0.0,24.99,"2022-12-17 00:45:32"
"0985159006","0985159","006",skinny_jeans,men_jeans_skinny,dark_denim_blue,skinny_fit,0.99,0.01,0.0,0.0,0.0,0.0,24.99,"2022-12-17 00:45:32"
"0985159007","0985159","007",skinny_jeans,men_jeans_skinny,denim_blue,skinny_fit,0.99,0.01,0.0,0.0,0.0,0.0,24.99,"2022-12-17 00:45:32"
"0985159008","0985159","008",skinny_jeans,men_jeans_skinny,dark_gray,skinny_fit,0.99,0.01,0.0,0.0,0.0,0.0,24.99,"2022-12-17 00:45:32"
"1008549001","1008549","001",regular_jeans,men_jeans_regular,light_denim_blue,regular_fit,0.98,0.02,0.0,0.0,0.0,0.0,24.99,"2022-12-17 00:45:32"
"1008549002","1008549","002",regular_jeans,men_jeans_regular,denim_blue,regular_fit,0.99,0.01,0.0,0.0,0.0,0.0,24.99,"2022-12-17 00:45:32"
"1008549003","1008549","003",regular_jeans,men_jeans_regular,dark_gray,regular_fit,0.99,0.01,0.0,0.0,0.0,0.0,24.99,"2022-12-17 00:45:32"
"1008549004","1008549","004",regular_jeans,men_jeans_regular,dark_blue,regular_fit,0.99,0.01,0.0,0.0,0.0,0.0,24.99,"2022-12-17 00:45:32"
"1008549005","1008549","005",regular_jeans,men_jeans_regular,dark_denim_blue,regular_fit,0.99,0.01,0.0,0.0,0.0,0.0,24.99,"2022-12-17 00:45:32"
"1008549006","1008549","006",regular_jeans,men_jeans_regular,black,regular_fit,0.99,0.01,0.0,0.0,0.0,0.0,24.99,"2022-12-17 00:45:32"
"1008549007","1008549","007",regular_jeans,men_jeans_regular,light_gray,regular_fit,0.99,0.01,0.0,0.0,0.0,0.0,11.99,"2022-12-17 00:45:32"
"1008549008","1008549","008",regular_jeans,men_jeans_regular,light_denim_blue,regular_fit,0.99,0.01,0.0,0.0,0.0,0.0,10.99,"2022-12-17 00:45:32"
"0690449067","0690449","067",skinny_jeans,men_jeans_ripped,denim_blue,skinny_fit,0.98,0.02,0.0,0.0,0.0,0.0,39.99,"2022-12-17 00:45:32"
"0690449001","0690449","001",skinny_jeans,men_jeans_ripped,light_denim_blue/trashed,skinny_fit,0.99,0.01,0.0,0.0,0.0,0.0,13.99,"2022-12-17 00:45:32"
"0690449002","0690449","002",skinny_jeans,men_jeans_ripped,denim_blue,skinny_fit,0.98,0.02,0.0,0.0,0.0,0.0,12.99,"2022-12-17 00:45:32"
"0690449006","0690449","006",skinny_jeans,men_jeans_ripped,black/washed,skinny_fit,0.98,0.02,0.0,0.0,0.0,0.0,5.99,"2022-12-17 00:45:32"
"0690449007","0690449","007",skinny_jeans,men_jeans_ripped,light_denim_blue,skinny_fit,0.98,0.02,0.0,0.0,0.0,0.0,12.99,"2022-12-17 00:45:32"
"0690449009","0690449","009",skinny_jeans,men_jeans_ripped,black_washed_out,skinny_fit,0.99,0.01,0.0,0.0,0.0,0.0,17.99,"2022-12-17 00:45:32"
"0690449011","0690449","011",skinny_jeans,men_jeans_ripped,white,skinny_fit,0.99,0.01,0.0,0.0,0.0,0.0,17.99,"2022-12-17 00:45:32"
"0690449013","0690449","013",skinny_jeans,men_jeans_ripped,black/washed,skinny_fit,0.98,0.02,0.0,0.0,0.0,0.0,27.99,"2022-12-17 00:45:32"
"0690449021","0690449","021",skinny_jeans,men_jeans_ripped,dark_denim_blue/trashed,skinny_fit,0.98,0.02,0.0,0.0,0.0,0.0,25.99,"2022-12-17 00:45:32"
"0690449022","0690449","022",skinny_jeans,men_jeans_ripped,black/trashed,skinny_fit,0.98,0.02,0.0,0.0,0.0,0.0,39.99,"2022-12-17 00:45:32"
"0690449024","0690449","024",skinny_jeans,men_jeans_ripped,dark_blue/trashed,skinny_fit,0.98,0.02,0.0,0.0,0.0,0.0,20.99,"2022-12-17 00:45:32"
"0690449028","0690449","028",skinny_jeans,men_jeans_ripped,dark_blue/washed_out,skinny_fit,0.98,0.02,0.0,0.0,0.0,0.0,19.99,"2022-12-17 00:45:32"
"0690449035","0690449","035",skinny_jeans,men_jeans_ripped,denim_blue/trashed,skinny_fit,0.98,0.02,0.0,0.0,0.0,0.0,21.99,"2022-12-17 00:45:32"
"0690449036","0690449","036",skinny_jeans,men_jeans_ripped,black,skinny_fit,0.98,0.02,0.0,0.0,0.0,0.0,39.99,"2022-12-17 00:45:32"
"0690449040","0690449","040",skinny_jeans,men_jeans_ripped,denim_gray,skinny_fit,0.98,0.02,0.0,0.0,0.0,0.0,29.99,"2022-12-17 00:45:32"
"0690449043","0690449","043",skinny_jeans,men_jeans_ripped,light_denim_blue/trashed,skinny_fit,0.98,0.02,0.0,0.0,0.0,0.0,39.99,"2022-12-17 00:45:32"
"0690449046","0690449","046",skinny_jeans,men_jeans_ripped,light_denim_gray/trashed,skinny_fit,0.98,0.02,0.0,0.0,0.0,0.0,39.99,"2022-12-17 00:45:32"
"0690449051","0690449","051",skinny_jeans,men_jeans_ripped,gray,skinny_fit,0.98,0.02,0.0,0.0,0.0,0.0,39.99,"2022-12-17 00:45:32"
"0690449056","0690449","056",skinny_jeans,men_jeans_ripped,light_denim_blue,skinny_fit,0.98,0.02,0.0,0.0,0.0,0.0,39.99,"2022-12-17 00:45:32"
"0690449059","0690449","059",skinny_jeans,men_jeans_ripped,denim_blue,skinny_fit,0.98,0.02,0.0,0.0,0.0,0.0,39.99,"2022-12-17 00:45:32"
"0690449062","0690449","062",skinny_jeans,men_jeans_ripped,light_denim_blue,skinny_fit,0.98,0.02,0.0,0.0,0.0,0.0,39.99,"2022-12-17 00:45:32"
"0690449064","0690449","064",skinny_jeans,men_jeans_ripped,black/patterned,skinny_fit,0.98,0.02,0.0,0.0,0.0,0.0,39.99,"2022-12-17 00:45:32"
"0979945003","0979945","003",loose_jeans,men_jeans_loose,black,loose_fit,1.0,0.0,0.0,0.0,0.0,0.0,39.99,"2022-12-17 00:45:32"
"0979945001","0979945","001",loose_jeans,men_jeans_loose,light_denim_blue,loose_fit,1.0,0.0,0.0,0.0,0.0,0.0,39.99,"2022-12-17 00:45:32"
"0979945002","0979945","002",loose_jeans,men_jeans_loose,denim_blue,loose_fit,1.0,0.0,0.0,0.0,0.0,0.0,39.99,"2022-12-17 00:45:32"
"0979945009","0979945","009",loose_jeans,men_jeans_loose,light_gray,loose_fit,1.0,0.0,0.0,0.0,0.0,0.0,39.99,"2022-12-17 00:45:32"
